device,number_of_render_blocking_stylesheets,p50_opportunity_ms,num_pages
desktop,0,55,106656
desktop,1,25,217701
desktop,2,22,256000
desktop,3,24,232377
desktop,4,36,197226
desktop,5,42,168360
desktop,6,47,145421
desktop,7,48,126083
desktop,8,51,106279
desktop,9,54,95984
desktop,10,56,83943
desktop,11,62,76774
desktop,12,78,70779
desktop,13,77,62248
desktop,14,75,54125
desktop,15,78,47233
desktop,16,81,42233
desktop,17,82,37475
desktop,18,84,33546
desktop,19,85,30524
desktop,20,107,290232
mobile,0,173,147911
mobile,1,36,257198
mobile,2,28,295703
mobile,3,39,313317
mobile,4,53,254470
mobile,5,68,211139
mobile,6,72,183978
mobile,7,66,157158
mobile,8,95,137723
mobile,9,118,125046
mobile,10,130,111176
mobile,11,147,98893
mobile,12,175,88090
mobile,13,187,79478
mobile,14,200,71668
mobile,15,206,62695
mobile,16,214,57345
mobile,17,222,51355
mobile,18,227,46753
mobile,19,225,43104
mobile,20,258,417567
